feature,n_pairs,mean_norm_imp,median_norm_imp,max_norm_imp
%-macd_hist_gen_{TF_15m},36,0.002215937125789472,0.0019478787824042884,0.006052428275673189
%-macd_signal_gen_shift-1_{BTC_INF}_4h,37,0.002209730875516477,0.0013653289532325039,0.015992154290824963
%-adx-period_50_shift-2_{BTC_INF}_15m,37,0.0022046622859898477,0.0014687033716596922,0.008826255706047345
%-adx-period_20_shift-1_{BTC_INF}_15m,37,0.0022018789332407533,0.0007627050605052666,0.037654334072049246
%-bb_width-period_10_shift-2_{TF_1h},36,0.00217324393519381,0.0013507807607660565,0.009122693065656414
%-bb_pct-period_10_shift-2_{TF_4h},36,0.0021688096774813512,0.0018987842423404092,0.008424419655353434
%-relative_volume-period_50_shift-1_{TF_4h},36,0.002168534048166657,0.0017625467823510518,0.008345358200433984
%-relative_volume-period_50_{TF_4h},36,0.0021655761170165932,0.0014495188307537426,0.011087982593350757
%-rsi-period_20_{TF_15m},36,0.0021612343521622067,0.0018523184406287235,0.006456388829903832
%-sma-period_10_{TF_15m},36,0.0021568387182291913,0.0005406462644637473,0.02054090799051036
%-sma-period_50_{BTC_INF}_4h,37,0.0021542143760602903,0.0014240563082033755,0.009853108705817334
%-macd_hist_gen_{BTC_INF}_4h,37,0.002147676116458237,0.0013634285444257535,0.021126000776063768
%-price_position_gen_{BTC_INF}_4h,37,0.002138438600003284,0.001408838190786755,0.00930430514458603
%-relative_volume-period_20_{BTC_INF}_4h,37,0.0021372761796555084,0.001193582873960212,0.009867562691992446
%-macd_signal_gen_{BTC_INF}_1h,37,0.0021109298248708345,0.0012353316638722557,0.009787637651136485
%-roc-period_10_shift-2_{BTC_INF}_4h,37,0.0021085174591034955,0.0015327790872025513,0.009872318222081376
%-macd_hist_gen_{BTC_INF}_1h,37,0.0021055352084782776,0.0014316361609094485,0.010783572618768882
%-rsi-period_20_{TF_1h},36,0.002087150544696003,0.0010295603912712466,0.010833258977164186
%-relative_volume-period_50_shift-1_{BTC_INF}_4h,37,0.002080321170422876,0.0012585047168392138,0.008482914723634995
%-relative_volume-period_20_shift-2_{BTC_INF}_4h,37,0.0020532451799689876,0.0013693279190991842,0.007599474023424747
%-macd_gen_{TF_4h},36,0.0020518500806565158,0.0008814113412378255,0.022882733777252116
%-bb_pct-period_20_shift-1_{TF_4h},36,0.0020393383212526173,0.0010085729486677742,0.013244495300165483
%-rsi-period_20_shift-1_{TF_4h},36,0.00203691186032918,0.0005957097094855843,0.01914172753507506
%-bb_width-period_50_shift-1_{BTC_INF}_4h,37,0.0020349235207668655,0.0008992492348322671,0.017162791088487103
%-bb_pct-period_10_{TF_4h},36,0.0019944273566989148,0.0013647866568024163,0.007192014551547601
%-bb_pct-period_50_{TF_1h},36,0.0019905652237288043,0.0012674358239195614,0.0074399320019575225
%-bb_pct-period_50_{BTC_INF}_1h,37,0.0019720083568923446,0.001073884528463113,0.009586879436588796
%-bb_width-period_10_{BTC_INF}_1h,37,0.001968985533878939,0.0014344105244459438,0.006669675650329101
%-macd_signal_gen_{BTC_INF}_4h,37,0.0019662125778539944,0.001023023133814203,0.013921582760629016
